game_id,game_date,away,home,home_win,state_policy,performance_cutoff,elo_diff,elo_probability_raw,bt_logit,trend_diff,record_logit_diff,cumulative_margin_diff,recent_margin_diff,turnover_advantage_diff,rebound_advantage_diff,foul_advantage_diff,rest_advantage,home_rest_days,away_rest_days,back_to_back_advantage,games_in_4_days_advantage,games_in_6_days_advantage,home_games_before,away_games_before
0022500132,2025-10-29,SAC,CHI,1,sequential_daily,2025-10-28,0.3109973190333233,0.6717471459168051,0.7398427677965678,-0.07877722787047503,0.8960880245566354,11.0,11.078777227870475,-8.916666666666668,14.25,1.9166666666666665,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0
0022500133,2025-10-29,IND,DAL,1,sequential_daily,2025-10-28,0.17419846797321156,0.598953550573712,0.4379078634748651,-0.3796935236674486,0.22314355131420982,1.666666666666666,2.0463601903341146,2.0833333333333335,-1.166666666666667,6.666666666666666,-1.0,2.0,3.0,0.0,-1.0,-1.0,4.0,3.0
0022500134,2025-10-29,NOP,DEN,1,sequential_daily,2025-10-28,0.33561182004548984,0.6841208271576389,0.7331084742330158,-0.5557402666514655,0.7419373447293769,23.666666666666664,24.222406933318133,-1.0,15.0,-4.666666666666667,0.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0
0022500135,2025-10-29,POR,UTA,0,sequential_daily,2025-10-28,0.19370943405616856,0.6096955016027692,0.4758370101022019,0.26433614567099095,0.1823215567939544,2.25,1.985663854329009,-9.083333333333334,13.916666666666666,-2.3333333333333335,0.0,2.0,2.0,0.0,1.0,1.0,3.0,4.0
0022500136,2025-10-29,LAL,MIN,0,sequential_daily,2025-10-28,0.17000257665072638,0.5966306011471493,0.45746143728879574,0.0824410771986408,0.0,-6.0,-6.082441077198641,1.75,-5.25,-7.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0
0022500137,2025-10-29,MEM,PHX,0,sequential_daily,2025-10-28,0.15106894385741043,0.5860958938275446,0.36233169592444564,-0.010157720652784974,-0.33647223662121273,-8.75,-8.739842279347215,-2.25,-1.25,-6.75,0.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0
0022500138,2025-10-30,ORL,CHA,0,sequential_daily,2025-10-29,0.3148986493392505,0.6737248909788496,0.5587474659228094,0.16692228134989895,0.4700036292457356,12.1,11.9330777186501,0.7000000000000002,9.65,0.95,1.0,2.0,1.0,1.0,1.0,0.0,4.0,5.0
0022500139,2025-10-30,GSW,MIL,1,sequential_daily,2025-10-29,0.17331816273721187,0.5984665564032314,0.290184809606759,0.27173554920175036,-0.13353139262452274,0.40000000000000036,0.12826445079825,0.45,-5.55,-1.1,0.0,2.0,2.0,0.0,1.0,0.0,4.0,5.0
0022500140,2025-10-30,WAS,OKC,1,sequential_daily,2025-10-29,0.3743017741684082,0.7030494669886014,0.7866187174848857,-0.11578535103126075,1.1474024528375415,15.9,16.015785351031262,4.5,-1.5,5.1,0.0,2.0,2.0,0.0,-1.0,-1.0,5.0,4.0
0022500141,2025-10-30,MIA,SAS,1,sequential_daily,2025-10-29,0.21454988710228234,0.6210528354583703,0.4628456306171216,0.412286552420035,0.35667494393873217,0.75,0.337713447579965,-3.75,13.5,2.75,1.0,3.0,2.0,0.0,0.0,0.0,4.0,4.0
0022500020,2025-10-31,ATL,IND,0,sequential_daily,2025-10-30,0.15094703700012757,0.5860277976505559,0.20010468283078778,0.13481272162868496,-0.5389965007326871,-2.6500000000000004,-2.7848127216286853,-6.25,8.65,-3.85,0.0,2.0,2.0,0.0,0.0,0.0,4.0,5.0
0022500021,2025-10-31,BOS,PHI,0,sequential_daily,2025-10-30,0.22602596212619744,0.6272515850773885,0.6767304501458191,0.3065802866268488,0.8472978603872034,-1.5,-1.8065802866268488,-1.65,3.85,5.9,1.0,3.0,2.0,0.0,0.0,1.0,4.0,5.0
0022500022,2025-10-31,TOR,CLE,0,sequential_daily,2025-10-30,0.308647609366721,0.6705530288206409,0.6458328849184446,-0.4004503675030746,0.6241543090729937,7.4,7.800450367503075,-2.4,11.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,5.0
0022500023,2025-10-31,NYK,CHI,1,sequential_daily,2025-10-30,0.2780522469691584,0.6548074756045689,0.5998047333812839,-0.3714036648675981,0.6931471805599452,8.5,8.871403664867598,-5.75,-2.75,-0.75,-1.0,2.0,3.0,0.0,0.0,0.0,4.0,4.0
0022500024,2025-10-31,LAL,MEM,0,sequential_daily,2025-10-30,0.17477947800210927,0.5992748645252268,0.3696298558733435,0.01550045741655215,0.0,-3.0,-3.015500457416552,4.2,-5.0,-2.0,0.0,2.0,2.0,0.0,0.0,1.0,5.0,5.0
0022500025,2025-10-31,UTA,PHX,1,sequential_daily,2025-10-30,0.09258501329687646,0.5530952814181742,0.23248036865425406,-0.3555759932409037,-0.4700036292457356,-15.5,-15.144424006759095,2.5,-13.35,-6.75,0.0,2.0,2.0,0.0,0.0,0.0,5.0,4.0
0022500026,2025-10-31,DEN,POR,1,sequential_daily,2025-10-30,0.15527415187686244,0.5884428571119305,0.3373911718205712,0.4103223233061204,-0.18232155679395484,-10.75,-11.16032232330612,5.15,-7.6,3.35,0.0,2.0,2.0,0.0,0.0,-1.0,5.0,4.0
0022500027,2025-10-31,NOP,LAC,1,sequential_daily,2025-10-30,0.30726202109958367,0.6698478414179627,0.6296321411359955,-0.47679147708583036,0.6931471805599454,17.5,17.97679147708583,-4.5,12.75,-2.75,1.0,3.0,2.0,0.0,0.0,0.0,4.0,4.0
0022500142,2025-11-01,SAC,MIL,0,sequential_daily,2025-10-31,0.3477774651500368,0.6901428471362041,0.6737123764963644,-0.12389248469215719,0.9400072584914714,12.6,12.723892484692158,-1.6,4.6,-2.8000000000000003,-1.0,2.0,3.0,0.0,0.0,0.0,5.0,5.0
0022500143,2025-11-01,MIN,CHA,0,sequential_daily,2025-10-31,0.21403919493521073,0.6207760496165434,0.33965361080843526,0.5685779958414426,0.0,4.3999999999999995,3.831422004158557,-2.8,12.799999999999999,3.2,-1.0,2.0,3.0,0.0,0.0,0.0,5.0,5.0
0022500144,2025-11-01,GSW,IND,1,sequential_daily,2025-10-31,0.005269908347374894,0.5030335658777634,-0.10728997862337769,0.03394570191463675,-1.0986122886681096,-14.4,-14.433945701914638,-0.23333333333333317,-2.1,-1.0333333333333332,-1.0,1.0,2.0,-1.0,-1.0,1.0,5.0,6.0
0022500145,2025-11-01,ORL,WAS,0,sequential_daily,2025-10-31,0.15117423798925755,0.5861547076224916,0.2751813068218076,0.18318062951125746,-0.18232155679395468,-6.1,-6.283180629511257,-4.1,-2.166666666666667,-8.766666666666666,0.0,2.0,2.0,0.0,1.0,1.0,5.0,6.0
0022500146,2025-11-01,HOU,BOS,0,sequential_daily,2025-10-31,0.19154920797191777,0.6085111856540598,0.355406192605827,0.22285444192921577,0.0,-4.25,-4.472854441929216,7.166666666666667,-16.0,-9.416666666666668,-2.0,1.0,3.0,-1.0,-1.0,-1.0,6.0,4.0
0022500147,2025-11-01,DAL,DET,1,sequential_daily,2025-10-31,0.27304136800336776,0.652194855882587,0.5052973106138378,0.2698280293975538,0.3083013596545164,8.4,8.130171970602445,1.4,10.600000000000001,-7.2,0.0,3.0,3.0,0.0,0.0,0.0,5.0,5.0
0022500148,2025-11-02,NOP,OKC,1,sequential_daily,2025-11-01,0.4620550854851962,0.7434391691710414,0.9134731787768064,-0.3785306368666106,1.7272209480904839,24.933333333333334,25.311863970199944,5.133333333333333,7.633333333333334,-2.9000000000000004,1.0,3.0,2.0,0.0,0.0,0.0,6.0,5.0
0022500149,2025-11-02,PHI,BKN,0,sequential_daily,2025-11-01,-0.013643205851740276,0.49214698521743844,-0.20466015028214862,-0.07430334122701687,-1.2809338454620645,-18.2,-18.125696658772984,-2.1999999999999997,-7.8,-7.6,2.0,4.0,2.0,0.0,1.0,1.0,5.0,5.0
0022500150,2025-11-02,UTA,CHA,1,sequential_daily,2025-11-01,0.14148812492555976,0.5807342897342129,0.20682245901225982,0.09133179564073934,-0.13353139262452268,-3.1666666666666665,-3.257998462307406,1.5999999999999996,-0.5999999999999996,-0.6666666666666665,-1.0,1.0,2.0,-1.0,-1.0,-1.0,6.0,5.0
0022500151,2025-11-02,ATL,CLE,1,sequential_daily,2025-11-01,0.1944808591354064,0.6101181130554626,0.25629832939145375,0.7211594171183671,0.0,1.1666666666666665,0.44550724954829946,-3.0,9.833333333333334,3.333333333333333,0.0,2.0,2.0,0.0,0.0,0.0,6.0,6.0
0022500152,2025-11-02,MEM,TOR,1,sequential_daily,2025-11-01,0.1935461394861403,0.6096060224449908,0.19386086098636132,0.14301407093121865,-0.2876820724517809,-0.5,-0.6430140709312187,-0.5,-7.000000000000001,-4.5,0.0,2.0,2.0,0.0,0.0,0.0,6.0,6.0
0022500153,2025-11-02,CHI,NYK,1,sequential_daily,2025-11-01,0.056231333861694564,0.5323242123736208,-0.06997625311640127,0.4623571361067689,-0.965080896043587,-10.8,-11.26235713610677,3.3999999999999995,-0.20000000000000018,-0.6000000000000001,0.0,2.0,2.0,0.0,0.0,0.0,5.0,5.0
