candidate,model_type,architecture,elo_k,elo_hfa,trend_half_life_days,feature_set,n_features,logistic_c,prequential_games,prequential_log_loss,prequential_brier,prequential_auc,prequential_accuracy
k20_hfa80_hl45|core_schedule|C10.0,direct_logistic,k20_hfa80_hl45,20.0,80.0,45.0,core_schedule,5,10.0,399,0.6468883914580816,0.22764115686495628,0.6728252114377771,0.6365914786967418
k20_hfa80_hl20|core_schedule|C10.0,direct_logistic,k20_hfa80_hl20,20.0,80.0,20.0,core_schedule,5,10.0,399,0.6469373289054947,0.2276547526037295,0.6726490132903745,0.6365914786967418
k20_hfa65_hl45|core_schedule|C10.0,direct_logistic,k20_hfa65_hl45,20.0,65.0,45.0,core_schedule,5,10.0,399,0.6469932816699462,0.22768974952465715,0.6723973016512284,0.631578947368421
k20_hfa65_hl20|core_schedule|C10.0,direct_logistic,k20_hfa65_hl20,20.0,65.0,20.0,core_schedule,5,10.0,399,0.6470594676368666,0.22771097494591835,0.6721707611759968,0.631578947368421
k20_hfa50_hl45|core_schedule|C10.0,direct_logistic,k20_hfa50_hl45,20.0,50.0,45.0,core_schedule,5,10.0,399,0.6470660830936885,0.2277203552319802,0.6728755537656061,0.6265664160401002
k20_hfa50_hl20|core_schedule|C10.0,direct_logistic,k20_hfa50_hl20,20.0,50.0,20.0,core_schedule,5,10.0,399,0.647144635768205,0.22774683855527747,0.6721707611759967,0.6265664160401002
k30_hfa50_hl45|core_schedule|C1.0,direct_logistic,k30_hfa50_hl45,30.0,50.0,45.0,core_schedule,5,1.0,399,0.6475197992884602,0.22801449153856726,0.6705346355215466,0.6240601503759399
k30_hfa65_hl45|core_schedule|C1.0,direct_logistic,k30_hfa65_hl45,30.0,65.0,45.0,core_schedule,5,1.0,399,0.6475998221613894,0.22805579114903762,0.6703332662102297,0.6265664160401002
k30_hfa50_hl20|core_schedule|C1.0,direct_logistic,k30_hfa50_hl20,30.0,50.0,20.0,core_schedule,5,1.0,399,0.6476454772340882,0.22806240579736475,0.6695781312927909,0.6190476190476191
k30_hfa80_hl45|core_schedule|C1.0,direct_logistic,k30_hfa80_hl45,30.0,80.0,45.0,core_schedule,5,1.0,399,0.647661912946539,0.22808677305013314,0.6704087797019734,0.6290726817042607
k30_hfa65_hl20|core_schedule|C1.0,direct_logistic,k30_hfa65_hl20,30.0,65.0,20.0,core_schedule,5,1.0,399,0.6477149028270172,0.22809880083883688,0.669703987112364,0.6240601503759399
k30_hfa80_hl20|core_schedule|C1.0,direct_logistic,k30_hfa80_hl20,30.0,80.0,20.0,core_schedule,5,1.0,399,0.6477633344643793,0.22812343820991998,0.6704087797019733,0.6240601503759399
k30_hfa50_hl45|core_schedule|C3.0,direct_logistic,k30_hfa50_hl45,30.0,50.0,45.0,core_schedule,5,3.0,399,0.6479713143493321,0.2282306193300871,0.6697543294401932,0.6265664160401002
